,Name,Address,Rating,Website,Hours,Cuisine
0,Mi Lindo Pénjamo - Food Truck,"7910 Michigan Rd, Indianapolis, IN 46268, USA",4.5,https://store.kahero.co/milindopenjamo,"['Closed', 'Closed']",Spanish
1,los compadres food truck,"2001 S Scatterfield Rd, Anderson, IN 46016, USA",4.5,https://www.loscompadresfoodtruck.com/,"['5:00 – 11:00 PM', '5:00 – 11:00 PM']",Spanish
2,Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",4.5,https://www.facebook.com/peregrino1982/,"['5:00 PM – 4:00 AM', '5:00 PM – 1:00 AM']",Spanish
3,Food truck Mil Amores,"5034 E Raymond St, Indianapolis, IN 46203, USA",4.0,,"['Closed', 'Closed']",Spanish
4,Karma Kitchen Food Truck,"210 Longwood Ave, Anderson, IN 46011, USA",4.4,,"['Closed', 'Closed']",Spanish
5,The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, USA",4.1,http://thelatinflavorindy.com/?utm_source=gmb&utm_medium=referral,"['11:00 AM – 11:00 PM', '11:00 AM – 10:00 PM']",Spanish
6,big Jerry Indy food truck,"8522 Madison Ave, Indianapolis, IN 46227, USA",5.0,,"['11:00 AM – 8:30 PM', 'Closed']",Spanish
7,Super Tacos food truck,"7202 E Washington St, Indianapolis, IN 46219, USA",4.6,,"['Closed', 'Closed']",Spanish
8,Antojitos Guzman food truck #1,"4853 W 56th St, Indianapolis, IN 46254, USA",3.5,https://antojitosguzmanfoodtruck1.business.site/?utm_source=gmb&utm_medium=referral,"['2:00 – 9:30 PM', '2:00 – 9:30 PM']",Spanish
9,Taco food truck,"5621 N Parker Ave, Indianapolis, IN 46220, USA",,,"['5:00 PM – 12:00 AM', 'Closed']",Mexican
10,King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",4.7,,"['10:30 AM – 1:00 AM', '10:30 AM – 12:00 AM']",Spanish
11,Taqueria La Autentica Food truck,"8801 E 25th St, Indianapolis, IN 46219, USA",3.0,,"['6:00 – 11:00 PM', 'Closed']",Spanish
12,El Buenavista Food Truck,"5210 English Ave, Indianapolis, IN 46219, USA",5.0,,"['1:59 PM – 4:59 AM', '1:59 PM – 4:59 AM']",Spanish
13,El Viejon Food Truck,"3612 W 30th St, Indianapolis, IN 46222, USA",1.0,https://www.elviejonfoodtruckindy.com/,"['2:30 PM – 4:00 AM', '2:30 PM – 12:00 AM']",Spanish
14,Emergency Taco Truck,"7001 Pendleton Pike, Indianapolis, IN 46226, USA",4.7,,"['3:00 PM – 12:00 AM', 'Closed']",Mexican
15,Food Truck Don Luis,"3605 Commercial Dr, Indianapolis, IN 46222, USA",3.0,http://orderfoodtruckdonluis.com/,"['6:00 PM – 1:00 AM', '6:00 PM – 12:00 AM']",Spanish
16,Dashboard Food Truck & Catering,"299 West Main Street, Greenwood, IN 46142, USA",5.0,http://dashboardfoodtruck.com/,"['Closed', 'Closed']",Spanish
17,La marina Maxican Food Truck,"7155 Madison Ave, Indianapolis, IN 46227, USA",4.0,,"['Closed', 'Closed']",Spanish
18,KG Slider Station,"3748 Lafayette Rd, Indianapolis, IN 46222, USA",5.0,http://www.keysgourmet.com/#!contact-us/clx0,"['11:00 AM – 10:00 PM', '12:00 – 8:00 PM']",Southern
19,Oasis Taco Truck,"en el parqueadero de Vision Hair salon, 7085 N Michigan Rd, Indianapolis, IN 46268, USA",5.0,https://oasis-taco-truck.business.site/?utm_source=gmb&utm_medium=referral,"['8:00 PM – 12:00 AM', 'Closed']",Mexican
