,Opening Time,Name,Address,Cuisine,Distance,Time,Transportation
0,"['Closed', 'Closed']",Mi Lindo Pénjamo - Food Truck,"7910 Michigan Rd, Indianapolis",Spanish,10.2 mi,22 mins,Car
1,"['5:00 – 11:00 PM', '5:00 – 11:00 PM']",los compadres food truck,"2001 S Scatterfield Rd, Anderson",Spanish,45.0 mi,52 mins,Car
2,"['5:00 PM – 4:00 AM', '5:00 PM – 1:00 AM']",Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis",Spanish,5.6 mi,16 mins,Car
3,"['Closed', 'Closed']",Food truck Mil Amores,"5034 E Raymond St, Indianapolis",Spanish,6.3 mi,18 mins,Car
4,"['Closed', 'Closed']",Karma Kitchen Food Truck,"210 Longwood Ave, Anderson",Spanish,43.9 mi,52 mins,Car
5,"['11:00 AM – 11:00 PM', '11:00 AM – 10:00 PM']",The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis",Spanish,11.8 mi,20 mins,Car
6,"['11:00 AM – 8:30 PM', 'Closed']",big Jerry Indy food truck,"8522 Madison Ave, Indianapolis",Spanish,9.6 mi,24 mins,Car
7,"['Closed', 'Closed']",Super Tacos food truck,"7202 E Washington St, Indianapolis",Spanish,10.6 mi,16 mins,Car
8,"['2:00 – 9:30 PM', '2:00 – 9:30 PM']",Antojitos Guzman food truck #1,"4853 W 56th St, Indianapolis",Spanish,10.3 mi,16 mins,Car
9,"['5:00 PM – 12:00 AM', 'Closed']",Taco food truck,"5621 N Parker Ave, Indianapolis",Mexican,7.9 mi,20 mins,Car
10,"['10:30 AM – 1:00 AM', '10:30 AM – 12:00 AM']",King gyros food truck,"4585 S Harding St, Indianapolis",Spanish,6.4 mi,18 mins,Car
11,"['6:00 – 11:00 PM', 'Closed']",Taqueria La Autentica Food truck,"8801 E 25th St, Indianapolis",Spanish,10.4 mi,17 mins,Car
12,"['1:59 PM – 4:59 AM', '1:59 PM – 4:59 AM']",El Buenavista Food Truck,"5210 English Ave, Indianapolis",Spanish,5.0 mi,16 mins,Car
13,"['2:30 PM – 4:00 AM', '2:30 PM – 12:00 AM']",El Viejon Food Truck,"3612 W 30th St, Indianapolis",Spanish,7.9 mi,14 mins,Car
14,"['3:00 PM – 12:00 AM', 'Closed']",Emergency Taco Truck,"7001 Pendleton Pike, Indianapolis",Mexican,11.7 mi,18 mins,Car
15,"['6:00 PM – 1:00 AM', '6:00 PM – 12:00 AM']",Food Truck Don Luis,"3605 Commercial Dr, Indianapolis",Spanish,7.6 mi,15 mins,Car
16,"['Closed', 'Closed']",Dashboard Food Truck & Catering,"299 West Main Street, Greenwood",Spanish,15.8 mi,26 mins,Car
17,"['Closed', 'Closed']",La marina Maxican Food Truck,"7155 Madison Ave, Indianapolis",Spanish,8.1 mi,21 mins,Car
18,"['11:00 AM – 10:00 PM', '12:00 – 8:00 PM']",KG Slider Station,"3748 Lafayette Rd, Indianapolis",Southern,7.4 mi,13 mins,Car
19,"['8:00 PM – 12:00 AM', 'Closed']",Oasis Taco Truck,"en el parqueadero de Vision Hair salon, 7085 N Michigan Rd, Indianapolis",Mexican,9.1 mi,19 mins,Car
